_	897	12
k	1952	9
a	877	10
ts	2307	19
t	1005	22
a	1220	16
t'	1842	5
Ii	1949	19
b'	680	39
i	910	14
n'	941	26
i	1147	12
n	750	7
k	1114	19
a	772	5
j	918	0
p	1198	10
a	1095	2
s'	2018	0
i	634	4
s'	1017	3
t'	1680	0
E	1786	0
N	1249	0
k	928	12
s	2544	0
_	3183	3
_	3088	1
r'	1121	0
e	1390	4
g'	1310	2
i	860	7
s	1169	5
t	1561	1
r	688	3
aA	2514	0
ts'	1908	0
i	1666	5
j'	494	5
oo	885	4
s	1410	8
p	1330	11
a	531	6
n	1203	0
a	935	7
j	1346	6
k'	1796	0
I	932	2
n'	815	4
i	980	6
m	1365	6
a	1316	6
s	3073	3
_	1885	4
_	1713	5
k	1779	8
A	717	29
J	896	14
p	1157	17
v	1340	16
a	865	12
l'	1381	5
s'	1807	3
t'	1584	0
Ii	1857	14
b'	1285	4
ee	1642	2
g	1366	0
aA	2178	5
l'	1063	0
i	946	0
u	1371	0
S'	1439	0
t'	1649	0
I	861	5
k'	1440	3
r'	773	1
i	1301	5
n'	1173	10
t'	1739	0
i	1511	118
_	2071	0
_	1555	6
t	1769	6
a	1130	0
tS'	2113	16
E	1203	3
W	845	10
d	1071	3
u	1042	0
t	1725	3
Uu	1112	5
k	996	5
s	755	8
t	1458	4
a	796	9
n'	899	19
tS'	1647	7
e	561	6
j	607	4
k'	1113	2
e	1183	0
t'	766	24
v'	1077	6
i	579	2
r	908	0
t	1416	0
A	853	2
J	997	0
s'	1812	0
m'	734	4
eA	2520	0
t	1565	0
a	798	4
j	978	4
s	2973	2
_	2524	0
_	2520	3
k	1778	0
u	1193	0
r'	817	0
uU	2343	9
m'	1295	19
i	983	16
r'	1065	0
t'	2147	4
I	1422	0
z	1525	3
b	1696	10
U	1043	0
v	1394	2
oo	1101	0
p	1612	0
a	997	0
t'	1363	1
v'	926	0
I	1075	2
r'	964	1
t'	1785	0
i	816	5
n	1475	6
t	1341	0
a	1917	28
_	2337	0
_	1595	5
t'	1758	8
r'	835	11
i	1494	7
z'	592	9
d'	1079	1
e	1033	0
S'	1839	3
i	415	15
m'	1013	17
t'	944	20
v'	1089	0
Ie	2685	0
n	839	1
a	1204	0
s	582	7
s	908	4
t	1008	15
r	855	0
Aa	1214	6
j	1351	1
p'	910	5
s'	1912	18
n'	613	6
i	932	17
s	2083	16
_	3048	1
_	3243	4
l'	1347	0
ie	1649	0
t	1357	0
u	806	0
v	959	13
oO	2070	0
s'	1486	0
r'	824	10
e	1142	0
s	1282	4
p	1440	1
U	666	12
b'	1119	6
l'	962	0
i	818	0
k	1295	0
oo	1211	0
s'	1876	0
ii	968	0
s	965	4
t	1339	0
aA	2480	0
t'	1467	0
ii	666	19
m	1197	7
a	1026	15
j	1641	14
_	2802	0
_	2743	0
n	1126	7
oo	812	5
r'	1149	0
s'	1790	0
i	547	14
r'	1000	22
v'	1246	0
I	950	0
s'	1883	7
i	717	0
S	1347	15
k	1553	11
a	630	7
j	521	5
n'	893	0
e	1439	2
r'	698	0
e	666	5
j	966	0
k	1585	0
a	1298	0
l'	1204	3
I	1771	10
n	1861	13
g	655	23
a	1833	28
_	2736	0
_	3225	3
g'	1393	0
ii	1556	4
v'	1013	11
Ea	2370	6
n	1264	8
t	1490	5
oo	908	5
j'	898	2
e	788	2
j	1026	0
p	1463	0
r	822	0
a	1129	0
d'	1079	0
Ee	1910	0
j'	711	0
oo	1018	2
p	1356	0
r	556	11
o	1078	0
t'	1320	0
e	1333	0
s	1454	0
t	1554	0
Uo	2597	5
t'	2107	12
i	1095	21
_	2691	0
_	2227	0
k	1775	0
a	1033	0
d'	470	6
j'	1019	0
e	1386	5
w	1709	6
n'	1139	6
I	1181	2
m	1265	2
a	1271	0
s'	2332	13
n'	753	1
e	1383	6
t	1769	3
U	1138	8
r'	778	0
i	1276	0
s	2127	0
A	1311	0
v	1249	0
oo	1361	0
l'	1085	0
Ee	2786	16
S	2537	5
uu	1003	11
_	3957	111
_	2634	4
k	1805	3
aA	2640	13
r'	702	0
E	1140	0
J	1109	0
k'	1966	0
e	1158	0
k'	2093	3
E	1496	0
J	1502	0
s'	1306	0
t'	1322	0
i	739	0
d	1512	0
a	1296	2
r'	777	8
Ii	1982	10
t'	1563	0
i	663	4
k'	1759	0
i	793	2
t	1939	6
A	1192	10
J	1534	22
p	2476	14
_	2879	0
_	2585	0
ii	2479	5
r	1039	2
A	1787	0
n'	1244	3
e	1361	0
p	1770	0
o	1419	1
l'	1034	0
I	1269	0
t'	1865	0
i	413	5
n'	795	11
ee	1065	6
o	1830	6
r	898	0
g	1252	0
a	1198	0
n'	894	0
i	1376	6
z	1569	1
aA	2784	8
ts'	2165	4
i	1329	16
j'	964	0
e	1662	22
_	2430	0
_	1937	2
p	1829	0
a	985	0
s	1689	8
k	1505	4
U	1224	17
J	608	20
l	983	5
Aa	1627	4
w	1044	0
k'	1231	0
t'	1356	8
i	792	0
f'	1192	6
i	555	2
n	1115	0
a	1178	5
n	1233	0
s	1692	0
aA	2606	0
v'	1106	0
i	681	3
m	1185	0
oo	1477	0
i	822	0
r'	1166	1
s'	1037	9
p'	1278	0
r'	900	0
e	1350	1
n'	1541	3
d'	805	5
I	1486	11
m	1217	5
oo	1797	15
_	2487	0
_	3430	5
j'	1838	23
I	685	6
s'	1313	0
t'	1831	0
I	1837	4
N	1090	0
k	1495	6
a	730	10
m	1060	8
a	1282	4
s'	1753	0
i	678	0
r	883	1
g	1263	0
a	1481	0
l'	736	2
Ea	2142	0
w	1519	0
s'	2041	5
e	839	3
j	757	0
t'	2217	5
ii	1336	0
l	1767	7
A	2457	22
_	3224	3
_	3040	1
n'	1268	3
e	1263	3
p'	1049	9
r'	688	99
i	862	0
k	1453	0
l	924	0
A	897	1
W	1355	0
s	1923	8
oo	570	6
m	1196	8
oo	1595	0
s'	1983	6
i	546	3
n'	1222	0
s'	1329	8
t'	1296	0
i	582	4
t	1588	0
U	1070	0
ts'	2552	2
i	1175	23
j'	669	7
oo	1460	21
s	2376	0
_	3044	1
_	3012	0
m'	1372	0
i	921	7
n'	895	3
i	1287	6
s'	1440	0
t'	1791	0
E	1260	0
r'	350	6
i	1075	2
j'	1087	4
oo	1913	0
s'	903	5
t'	1883	0
e	924	0
j	1024	0
s	2113	2
m	1020	0
A	1014	7
J	1381	0
k	1554	0
a	1711	4
v'	1072	0
I	931	4
n'	1316	5
ee	1992	4
s	3468	5
_	3147	2
_	3026	1
s	2142	1
u	718	1
t	1441	0
a	1162	0
p'	1915	1
I	956	8
m	1260	18
a	960	12
j	903	8
g	1375	0
aA	1890	16
l'	788	1
i	1113	0
b	1701	0
Uu	2019	8
t'	1240	15
i	378	6
t'	2082	4
i	682	0
k	1391	0
a	1085	0
ts'	2041	4
i	558	20
t'	1586	0
i	720	0
k'	1130	1
t'	1518	0
I	1431	6
n'	831	6
e	1379	10
j	2036	14
_	2306	0
_	2450	0
p	1790	0
r	860	0
o	1487	1
j'	1243	0
E	1786	0
k	1340	0
t	1152	18
a	1002	0
s	1736	0
l	622	5
a	846	0
b	1289	0
A	840	3
J	704	5
s	1666	6
v	1042	0
a	1138	4
r	949	1
b	1473	5
U	1109	0
s	2282	5
m	819	4
Uu	1446	6
s	1456	0
uu	1059	0
S	2028	0
a	1383	0
l'	1216	10
I	1011	11
m	1512	6
s	3121	4
_	3043	1
_	2629	0
v	1390	2
a	714	9
d	1119	0
oo	1662	5
v	1417	4
Aa	1451	4
w	2043	5
j'	1147	0
e	1266	0
p	1358	0
a	749	3
g	1455	0
a	919	0
l	840	0
d	1255	0
Aa	2053	0
r	902	0
b	1356	0
oo	1487	0
s	2059	7
U	908	0
t	1535	0
a	779	5
r'	1471	17
t'	1665	7
ii	2291	28
_	3029	1
_	2643	0
Aa	1453	8
j	1498	1
S'	1435	15
k'	1422	7
i	342	6
n	1048	6
a	1424	0
n'	956	0
t'	1113	5
i	1124	0
s	1216	5
s	1495	2
U	894	1
s'	1364	8
p'	1431	0
e	1016	0
ts'	2042	0
i	993	0
a	906	0
l'	1143	4
I	815	16
s	1036	3
t	1382	0
a	809	131
j	971	111
s	2645	11
_	3025	1
_	3333	4
s	2242	0
aA	2537	0
k'	1497	99
ee	854	5
s	1957	0
a	1080	0
v'	919	15
i	822	0
v	895	2
a	954	1
l'	1297	2
d'	1147	7
Ii	1852	0
b'	1024	1
ee	1721	0
z	736	7
d	1059	6
a	1022	0
r	758	0
b	1330	1
Uo	2228	10
t	1481	0
oo	1530	8
j'	861	10
e	1115	21
s	2603	0
_	2751	0
_	2491	6
t	1773	0
a	658	6
j	839	0
p	1718	0
A	1094	1
t'	1340	0
v'	1102	10
i	792	12
r'	1173	22
Z'	698	8
d'	1086	4
v'	974	0
I	651	4
d'	830	1
e	1432	0
S'	1659	2
i	711	15
m	1064	7
t	1645	7
v	559	24
a	860	0
j	1030	0
k	2131	5
uU	3098	8
_	2984	0
_	2758	0
b'	1356	0
e	979	13
t'	1545	3
i	511	4
r	970	9
m	1434	4
oo	1529	5
k'	1793	1
Ee	1885	0
t'	1507	0
i	578	2
p	1393	0
a	1058	0
s	2002	0
a	1094	5
k'	1717	0
Ii	1484	0
t'	1620	0
i	500	4
Z	1579	0
m	1472	0
oo	1831	4
n'	742	2
Ee	2387	12
m	1310	9
s	2894	1
_	2696	0
_	3445	5
s	1492	6
u	768	3
s'	1842	5
i	355	6
r'	1052	13
i	1304	0
n'	1044	8
k'	1454	16
I	681	10
m	1011	13
a	1659	10
s	1910	0
l	671	8
A	802	4
J	1478	0
k	1675	0
oo	958	4
m	1051	0
a	1490	0
s'	1061	2
t'	1524	0
Ea	2515	0
j	1141	2
s'	2319	1
ee	1279	4
t	2065	4
u	2251	126
_	3027	1
_	3429	5
s	2062	0
o	999	4
ts'	2003	7
i	1436	2
aA	2163	2
l'	933	0
i	1013	0
n'	1126	0
oo	1370	0
b'	1286	0
e	993	0
n	1151	0
d	557	19
r	888	0
aA	2556	0
v'	1032	0
i	717	5
m	815	4
oo	1753	0
g'	1320	0
e	1521	0
b'	1483	0
Ee	2231	4
j'	1009	4
i	692	10
m	1205	18
u	1133	13
s	3322	5
_	2053	0
_	1599	5
p	1742	99
a	927	0
r	689	0
a	1198	3
l'	1203	0
ii	1631	0
Z'	1712	1
Uo	3053	1
j'	875	11
e	764	4
m	993	2
a	1202	1
s	953	4
t	1427	8
r	787	2
a	991	11
w	1053	0
k'	1493	2
i	723	0
n'	1225	0
uU	2297	2
E	1550	0
J	1382	0
s	1975	0
m	982	5
a	1181	19
s	2040	4
_	2665	0
_	2750	0
v'	1489	4
i	429	5
s	2526	0
Uo	2157	6
m'	1049	22
e	1011	11
n'	1032	12
ee	1541	6
s'	1062	9
s'	1217	3
v'	633	2
e	788	2
j	928	0
k	1626	0
aA	2847	0
t	1378	0
oo	1286	0
s	2213	2
m	799	4
Oo	2389	0
k	1205	2
s	1559	0
l	813	0
oo	826	5
i	545	3
r	862	12
p	1391	0
r	1045	0
aA	1850	5
k'	1111	2
t'	1177	3
i	735	0
k	1529	0
oo	1048	3
s	1461	0
n	1014	0
a	1247	5
w	1275	0
j'	1119	0
Oo	2380	12
v'	1245	11
ee	1536	17
s	3008	2
_	3064	1
_	3235	4
iI	1969	5
k	2032	3
a	878	12
l'	1297	11
i	1122	5
n	2076	6
U	1301	0
l'	1152	0
i	932	0
s	1643	0
k	1487	0
a	677	5
b'	893	4
l'	1040	0
eA	2432	0
l'	844	0
i	1004	0
s'	1503	0
p'	1594	0
e	1480	5
n'	1346	8
k'	1650	0
I	1154	18
E	1858	0
m	2971	25
_	2829	0
_	3619	5
j'	1364	0
e	1050	10
j	1055	0
v	1251	7
A	1092	6
J	1267	0
k	1662	0
a	800	1
s	1129	6
p	1528	5
a	882	0
d	1292	0
aA	2589	0
r	590	2
oo	1140	0
n	1347	0
u	967	0
s'	1944	6
i	427	5
k	1579	0
a	1013	0
l'	1366	0
t'	1902	0
I	759	3
m	1622	3
aa	2075	7
_	1889	3
_	1654	5
t'	1716	10
E	1116	2
J	1233	2
k'	1704	6
e	912	8
n'	1046	6
t'	1107	4
i	1009	0
s	1014	4
t	1267	3
r	1118	0
a	1005	0
d'	1153	0
I	938	0
ts'	2188	0
i	393	17
n'	1039	0
e	1369	0
s	997	4
p	1415	0
aA	2506	3
s	1823	0
l	615	8
a	823	19
w	829	20
g	1215	10
a	1453	125
s	2454	0
_	2722	0
_	2042	3
t	1782	6
Oo	2872	1
k'	1547	0
oo	1461	1
s	1593	6
k	1517	0
A	1015	0
L	1637	0
b	1166	0
oo	1547	0
s	1015	4
p	945	5
r	602	13
a	1010	0
s'	1791	0
m'	1070	0
I	1440	0
n	1551	2
g	562	25
oo	1242	0
s'	1666	13
n'	698	3
e	1257	0
d	1233	6
a	927	0
w	1576	0
g'	1083	0
E	1622	0
W	2446	8
_	2741	0
_	2546	0
k	1768	7
a	795	5
d	1275	13
b	1626	4
Uu	2008	0
t	1548	6
uu	1176	11
k'	1500	2
ie	1213	5
k'	1533	2
v'	693	8
ie	891	5
n	995	0
oo	1784	4
j'	1103	0
E	1187	0
m	1244	0
oo	1587	4
k'	1913	0
iI	1478	0
k	1421	0
l	1012	8
oo	1231	10
j'	1391	12
e	1930	26
_	2390	0
_	1897	3
p	1771	0
a	1070	0
r'	555	2
e	1247	4
j	991	5
g	1425	0
uU	2357	0
n	930	15
a	1707	12
s'	1145	4
p'	1469	0
r'	1014	0
I	1050	0
i	916	0
m	1296	0
a	1071	6
n'	918	0
t'	1235	1
i	1131	0
z	870	2
d	1296	6
o	858	2
k	1665	0
u	425	7
m'	1292	6
e	1320	0
n	1160	3
t	1553	0
U	1278	11
s	3106	3
_	2769	0
_	3219	8
i	774	0
r'	1191	11
s'	1222	3
t'	1467	2
Ea	2811	0
n'	1004	0
g'	635	5
e	1505	4
s'	1482	0
i	860	3
s	1815	0
u	670	3
p	1470	2
r	783	0
A	1481	0
s'	1482	0
t'	1099	8
i	498	4
g'	1570	0
ii	1056	0
v'	1129	0
eA	2696	0
n'	806	4
i	811	5
m	1272	0
aa	1341	1
_	3175	0
_	1748	5
k	1774	4
u	1175	0
r'	671	0
iE	2535	0
n	1248	14
u	1114	11
l'	928	12
e	994	10
j	1021	7
d'	1254	0
i	917	0
n'	1245	0
Ee	2716	3
j'	1221	0
e	1268	0
i	1093	0
n	1403	0
f	1236	0
o	1018	6
r	923	7
m	1228	0
aA	2769	6
ts'	1907	0
i	623	0
j'	933	0
ea	846	5
k	1670	0
o	1229	0
n	1106	0
k	1158	2
u	670	4
r'	669	6
E	1819	2
N	1574	1
t	985	7
a	875	23
m	1273	121
s	2997	14
_	2393	0
_	2253	0
k	1942	1
a	1091	0
tS'	2404	10
I	670	4
p'	1789	0
r'	618	2
Ie	2559	0
m	992	0
oo	1427	0
n'	1033	0
ee	1529	0
j'	1262	0
e	702	4
w	1424	0
s'	2179	4
e	1110	0
n'	814	4
E	1089	0
J	1333	1
n	1283	0
a	994	10
w	1237	0
d	1340	0
Oo	2653	17
j'	1467	1
e	765	6
m	1245	129
a	1695	124
_	3121	2
_	3570	5
a	1046	0
r	1041	3
b	1275	4
a	1530	0
Z	1299	0
m	1486	0
Oo	2454	5
n'	885	0
ee	1600	0
s'	1235	0
p'	1344	0
r'	781	4
i	559	2
p	1543	4
aA	2758	0
s	1882	6
a	802	1
k	1401	0
oo	1234	0
j'	1601	2
oo	1553	0
j'	1186	0
Ea	2278	10
m'	1396	0
i	893	0
s	1686	6
t	1354	0
O	2033	12
r'	706	16
i	1074	20
j'	1270	22
uu	2454	126
_	3038	1
_	3114	2
d	2280	19
a	1430	6
Z	1937	4
n	974	6
A	1137	17
J	1195	18
t'	1998	2
E	1131	6
g	1418	18
d	843	4
a	925	1
v	926	0
oo	1604	0
d	1202	0
a	1289	0
l'	962	2
ii	952	0
v	1160	4
Aa	1924	0
w	1494	0
t'	1628	2
i	936	5
ii	737	7
v	1273	0
a	877	0
j	1137	0
r'	656	12
oo	1779	2
s'	2054	0
E	1273	0
k	1449	2
o	1093	4
m'	1457	0
I	1106	8
s'	2097	1
i	1186	8
j'	700	101
oo	1176	19
s'	2311	1
e	2706	131
_	2334	0
_	2002	1
p	1763	6
a	1097	2
n	1276	3
a	1578	8
S'	2234	3
uU	2128	0
k	1405	7
l	960	0
a	1166	0
j	1203	3
d	1457	0
uU	2133	0
k	1846	7
a	1041	0
r	1074	0
t	1518	0
Oo	2501	0
t'	1524	0
i	685	0
n'	962	0
e	1583	0
g	1102	0
aA	2934	0
l'	1008	6
i	685	10
m	1511	4
a	1742	27
_	2567	0
_	2925	0
k'	1743	0
i	607	1
t	1716	0
oO	2560	0
s	1382	5
k	1755	0
u	1175	2
l	894	3
t	1739	0
uU	2017	0
r	606	1
oo	1535	0
s	1870	0
Aa	2206	0
w	1644	0
t	1258	0
o	1200	7
r'	693	0
u	1029	5
s'	2047	0
i	819	0
r	684	2
a	1096	0
p	1447	0
r	903	0
a	1232	0
S'	2368	2
Ii	1941	0
t'	2165	11
i	1541	13
_	2626	0
_	2094	0
t	1786	0
oo	1347	0
d'	811	8
eE	1816	7
l	2173	7
t	1999	3
u	1143	0
r'	867	0
U	1521	0
d	1486	0
oo	2002	1
r	667	5
A	1276	0
J	1319	0
p'	1588	0
r'	1123	2
i	371	110
s'	1954	0
i	369	105
p	1264	1
a	1534	0
Z'	1751	2
I	1403	5
n'	1996	12
t'	1902	6
i	1078	119
_	2615	0
_	2276	0
t	1805	11
a	990	0
j	905	0
p'	2506	6
I	1297	2
r	961	9
m	1434	15
a	1320	8
s	1458	2
k	1628	0
A	1425	0
R	1031	0
t	1423	1
a	1296	0
s'	1025	6
p'	1351	0
e	671	5
r	1007	0
d	979	0
A	814	4
W	833	5
g'	1315	7
m'	972	6
eA	3272	0
t	1541	0
uu	2507	119
_	3116	2
_	3183	3
n'	1968	5
e	1331	7
s	1834	7
u	1385	0
t'	1575	0
I	1458	0
N	1010	0
k	1248	11
a	1125	0
n'	995	0
tS'	1255	4
oo	1276	6
s	1002	7
s	1366	5
u	844	5
v'	960	8
ii	765	2
r'	935	0
e	858	1
w	1514	0
s'	2190	0
Ii	1509	10
b'	1087	0
ee	1455	0
s	1297	2
p	1252	1
r	780	15
o	1342	5
g	1064	0
r	1081	0
a	1357	0
m	1428	0
A	2194	32
_	3422	5
_	2645	0
i	1119	0
r	1232	11
d	2258	5
U	1398	24
t'	1679	3
e	869	16
j	1120	8
s'	2223	8
i	710	11
n	1453	12
g	453	27
U	1124	2
m	1212	2
oo	1434	2
m'	1270	0
i	977	0
n'	1158	0
I	1368	0
s	1275	3
t	1142	16
r	950	0
oo	1073	1
p	1213	2
a	1031	0
s'	1398	0
k'	1344	0
i	738	0
r'	1280	10
t'	2428	8
I	2540	23
_	2503	0
_	2631	0
k	1746	0
a	690	4
l'	1871	9
b'	1223	4
Ee	2435	0
d	976	2
a	1112	1
m	1124	4
a	1095	1
s	1984	2
a	1268	2
p'	1235	0
ie	2064	2
d'	1174	8
iE	3426	5
v	1123	6
aa	1066	3
i	1155	0
r	1123	1
m	1589	2
Oo	3037	0
t'	1608	0
e	842	7
r'	846	19
i	1001	14
s	3356	5
_	3594	5
_	2999	0
ii	1346	0
s'	2320	5
i	830	0
k	1881	0
Uu	2347	0
r	497	23
u	1225	0
s'	1709	0
oo	1517	0
s	977	4
t	1737	0
oo	1493	0
l'	1037	0
E	1038	1
W	1624	0
d'	1356	0
e	1476	0
v'	877	0
ii	1510	2
n'	1096	0
Oo	3183	1
l'	857	7
i	1003	14
k	1950	8
a	2099	127
_	3061	1
_	3335	4
a	1430	0
t'	1388	6
l'	1150	0
i	560	7
k	1146	7
t	1616	0
A	1004	6
J	1484	0
s'	1044	6
t'	1654	2
ii	1543	0
r'	678	0
I	1187	0
m	1378	0
a	952	0
j	960	0
s	1546	0
n	1099	20
u	1198	0
